scrape_date,rank,provider,product_name,aer,duplicate_key
2026-06-26,328,Scottish BS,Online Saver,2.25,Scottish BS|Online Saver|2.25
2026-06-26,329,HSBC,HSBC Premier Savings,1.10,HSBC|HSBC Premier Savings|1.10
2026-06-26,330,HSBC,Flexible Saver,1.05,HSBC|Flexible Saver|1.05
2026-06-26,331,HSBC,Online Bonus Saver,1.05,HSBC|Online Bonus Saver|1.05
2026-06-26,332,Shawbrook Bank,Easy Access Savings Account - Issue 45,2.70,Shawbrook Bank|Easy Access Savings Account - Issue 45|2.70
2026-06-26,333,Marsden BS,Branch Saver (Issue 18),2.25,Marsden BS|Branch Saver (Issue 18)|2.25
2026-06-26,334,Progressive BS,Online Instant Access Saver Account (Issue 2),3.00,Progressive BS|Online Instant Access Saver Account (Issue 2)|3.00
2026-06-26,335,Vida Savings,Double Access Saver Issue 1,4.16,Vida Savings|Double Access Saver Issue 1|4.16
2026-06-26,336,Vida Savings,Double Access Saver Issue 1,2.50,Vida Savings|Double Access Saver Issue 1|2.50
2026-06-26,337,TSB,Easy Saver,1.05,TSB|Easy Saver|1.05
